33.967	34.001	0.000	0.000
8.075	8.108	0.102	0.102
14.014	14.047	0.123	0.123
30.030	30.063	0.131	0.131
29.029	29.062	0.147	0.147
27.027	27.060	0.180	0.180
32.032	32.065	0.190	0.190
10.010	10.043	0.202	0.202
8.175	8.208	0.205	0.205
6.006	6.039	0.212	0.212
21.021	21.054	0.224	0.224
4.204	4.238	0.227	0.227
1.535	1.568	0.237	0.237
5.539	5.572	0.243	0.243
33.634	33.667	0.252	0.252
16.683	16.717	0.257	0.257
33.800	33.834	0.257	0.257
3.570	3.604	0.267	0.267
7.574	7.608	0.268	0.268
32.232	32.266	0.271	0.271
2.002	2.035	0.275	0.275
14.848	14.882	0.276	0.276
8.041	8.075	0.277	0.277
14.648	14.681	0.279	0.279
29.329	29.363	0.289	0.289
27.528	27.561	0.289	0.289
27.127	27.160	0.289	0.289
8.041	8.108	0.292	0.292
18.652	18.685	0.297	0.297
32.633	32.666	0.299	0.299
32.132	32.165	0.300	0.300
25.526	25.559	0.302	0.302
6.240	6.273	0.303	0.303
29.630	29.663	0.303	0.303
24.691	24.725	0.303	0.303
22.656	22.689	0.304	0.304
10.644	10.677	0.305	0.305
2.870	2.903	0.306	0.306
29.530	29.563	0.310	0.310
17.017	17.050	0.314	0.314
33.700	33.734	0.314	0.314
25.225	25.259	0.315	0.315
32.332	32.366	0.316	0.316
29.930	29.963	0.316	0.316
21.321	21.355	0.317	0.317
12.679	12.713	0.318	0.318
18.352	18.385	0.319	0.319
33.233	33.267	0.320	0.320
28.729	28.762	0.321	0.321
14.915	14.948	0.322	0.322
6.874	6.907	0.323	0.323
32.533	32.566	0.323	0.323
8.675	8.709	0.324	0.324
13.313	13.347	0.325	0.325
25.826	25.859	0.326	0.326
17.317	17.351	0.327	0.327
33.333	33.367	0.327	0.327
27.227	27.261	0.328	0.328
20.687	20.721	0.329	0.329
11.345	11.378	0.329	0.329
30.330	30.364	0.330	0.330
9.309	9.343	0.331	0.331
28.328	28.362	0.331	0.331
25.626	25.659	0.331	0.331
26.727	26.760	0.331	0.331
23.357	23.390	0.332	0.332
25.726	25.759	0.332	0.332
15.349	15.382	0.332	0.332
26.126	26.159	0.334	0.334
25.325	25.359	0.335	0.335
28.128	28.161	0.335	0.335
18.018	18.051	0.336	0.336
33.133	33.166	0.340	0.340
4.271	4.304	0.343	0.343
33.534	33.567	0.343	0.343
0.200	0.234	0.346	0.346
29.129	29.162	0.348	0.348
19.353	19.386	0.349	0.349
1.602	1.635	0.349	0.349
30.130	30.163	0.350	0.350
31.231	31.265	0.351	0.351
28.629	28.662	0.355	0.355
2.236	2.269	0.356	0.356
26.226	26.260	0.357	0.357
28.529	28.562	0.358	0.358
26.627	26.660	0.360	0.360
25.125	25.158	0.361	0.361
4.104	4.137	0.362	0.362
4.171	4.204	0.362	0.362
33.033	33.066	0.362	0.362
9.643	9.676	0.363	0.363
31.131	31.164	0.364	0.364
31.532	31.565	0.366	0.366
27.828	27.861	0.368	0.368
21.088	21.121	0.371	0.371
3.136	3.170	0.372	0.372
20.053	20.087	0.373	0.373
10.611	10.644	0.373	0.373
6.507	6.540	0.373	0.373
26.326	26.360	0.373	0.373
10.077	10.110	0.374	0.374
15.115	15.148	0.375	0.375
1.735	1.768	0.376	0.376
2.703	2.736	0.376	0.376
33.901	33.934	0.378	0.378
16.517	16.550	0.379	0.379
32.733	32.766	0.380	0.380
22.022	22.055	0.381	0.381
3.203	3.237	0.381	0.381
28.228	28.262	0.384	0.384
2.836	2.870	0.386	0.386
2.069	2.102	0.386	0.386
27.628	27.661	0.387	0.387
24.958	24.992	0.389	0.389
15.816	15.849	0.389	0.389
7.641	7.674	0.389	0.389
21.522	21.555	0.390	0.390
30.230	30.264	0.390	0.390
28.829	28.862	0.392	0.392
21.154	21.188	0.392	0.392
17.518	17.551	0.392	0.392
29.229	29.263	0.394	0.394
3.537	3.570	0.394	0.394
7.541	7.574	0.394	0.394
27.327	27.361	0.396	0.396
0.267	0.300	0.396	0.396
18.151	18.185	0.398	0.398
28.028	28.061	0.398	0.398
23.056	23.090	0.398	0.398
0.334	0.367	0.398	0.398
0.100	0.133	0.398	0.398
3.070	3.103	0.399	0.399
30.531	30.564	0.399	0.399
6.573	6.607	0.400	0.400
3.637	3.670	0.400	0.400
13.514	13.547	0.402	0.402
18.218	18.252	0.402	0.402
31.331	31.365	0.402	0.402
17.084	17.117	0.403	0.403
18.285	18.318	0.403	0.403
25.058	25.092	0.403	0.403
4.404	4.438	0.404	0.404
4.538	4.571	0.404	0.404
6.206	6.240	0.404	0.404
7.841	7.875	0.404	0.404
30.831	30.864	0.405	0.405
5.506	5.539	0.405	0.405
29.429	29.463	0.406	0.406
26.026	26.059	0.406	0.406
13.847	13.881	0.407	0.407
13.580	13.614	0.409	0.409
30.731	30.764	0.410	0.410
28.428	28.462	0.410	0.410
21.288	21.321	0.411	0.411
29.830	29.863	0.411	0.411
4.338	4.371	0.412	0.412
1.368	1.401	0.412	0.412
27.728	27.761	0.412	0.412
7.007	7.040	0.413	0.413
31.832	31.865	0.413	0.413
11.812	11.845	0.413	0.413
4.171	4.238	0.414	0.414
12.379	12.412	0.414	0.414
11.178	11.211	0.414	0.414
0.534	0.567	0.415	0.415
30.631	30.664	0.416	0.416
29.730	29.763	0.417	0.417
12.646	12.679	0.417	0.417
12.112	12.145	0.418	0.418
0.167	0.200	0.418	0.418
3.770	3.804	0.419	0.419
18.085	18.118	0.419	0.419
14.715	14.748	0.421	0.421
7.708	7.741	0.421	0.421
1.235	1.268	0.421	0.421
12.813	12.846	0.422	0.422
3.003	3.036	0.422	0.422
17.584	17.618	0.423	0.423
17.918	17.951	0.423	0.423
24.758	24.791	0.424	0.424
0.400	0.434	0.424	0.424
24.525	24.558	0.424	0.424
24.892	24.925	0.424	0.424
23.323	23.357	0.425	0.425
0.667	0.701	0.426	0.426
2.135	2.169	0.426	0.426
4.037	4.071	0.428	0.428
23.123	23.156	0.428	0.428
25.425	25.459	0.429	0.429
2.202	2.236	0.431	0.431
1.034	1.068	0.433	0.433
6.840	6.874	0.433	0.433
4.905	4.938	0.433	0.433
17.150	17.184	0.434	0.434
1.668	1.702	0.435	0.435
4.872	4.905	0.436	0.436
31.031	31.064	0.436	0.436
0.033	0.067	0.436	0.436
26.827	26.860	0.437	0.437
31.732	31.765	0.437	0.437
9.510	9.543	0.439	0.439
6.940	6.974	0.439	0.439
24.057	24.091	0.439	0.439
26.527	26.560	0.439	0.439
14.781	14.815	0.441	0.441
9.710	9.743	0.441	0.441
6.073	6.106	0.441	0.441
9.209	9.243	0.442	0.442
9.276	9.309	0.443	0.443
8.141	8.175	0.443	0.443
3.270	3.303	0.443	0.443
24.591	24.625	0.443	0.443
12.045	12.079	0.443	0.443
5.105	5.138	0.443	0.443
0.734	0.767	0.444	0.444
20.187	20.220	0.445	0.445
21.655	21.688	0.446	0.446
30.931	30.964	0.446	0.446
14.348	14.381	0.447	0.447
22.623	22.656	0.447	0.447
