89.880	89.920	0.000	0.000
0.000	0.040	0.277	0.277
41.240	41.280	1.831	1.831
41.200	41.240	1.835	1.835
60.040	60.080	2.371	2.371
19.800	19.840	2.378	2.378
41.160	41.200	2.426	2.426
54.240	54.280	2.456	2.456
48.160	48.200	2.590	2.590
20.240	20.280	2.623	2.623
43.600	43.640	2.680	2.680
19.400	19.440	2.690	2.690
42.960	43.000	2.749	2.749
39.960	40.000	2.757	2.757
47.400	47.440	2.762	2.762
54.800	54.840	2.809	2.809
64.200	64.240	2.818	2.818
64.600	64.640	2.895	2.895
59.840	59.880	2.909	2.909
41.040	41.080	2.932	2.932
39.160	39.200	2.933	2.933
41.200	41.280	3.002	3.002
56.120	56.160	3.008	3.008
59.920	59.960	3.018	3.018
19.000	19.040	3.019	3.019
54.200	54.240	3.139	3.139
77.760	77.800	3.182	3.182
45.480	45.520	3.183	3.183
54.280	54.320	3.185	3.185
36.440	36.480	3.196	3.196
57.720	57.760	3.262	3.262
43.640	43.680	3.280	3.280
59.880	59.920	3.341	3.341
60.120	60.160	3.346	3.346
64.560	64.600	3.360	3.360
45.360	45.400	3.365	3.365
48.200	48.240	3.375	3.375
60.080	60.120	3.379	3.379
18.520	18.560	3.421	3.421
43.840	43.880	3.433	3.433
20.200	20.240	3.462	3.462
43.400	43.440	3.485	3.485
36.000	36.040	3.486	3.486
41.160	41.240	3.500	3.500
49.880	49.920	3.504	3.504
40.760	40.800	3.516	3.516
44.240	44.280	3.516	3.516
42.600	42.640	3.523	3.523
63.480	63.520	3.544	3.544
78.240	78.280	3.548	3.548
24.080	24.120	3.562	3.562
63.760	63.800	3.563	3.563
23.560	23.600	3.578	3.578
81.200	81.240	3.598	3.598
35.600	35.640	3.602	3.602
77.200	77.240	3.616	3.616
19.440	19.480	3.623	3.623
39.600	39.640	3.631	3.631
19.840	19.880	3.633	3.633
43.800	43.840	3.664	3.664
46.960	47.000	3.664	3.664
77.680	77.720	3.672	3.672
81.160	81.200	3.689	3.689
23.680	23.720	3.692	3.692
47.440	47.480	3.708	3.708
44.600	44.640	3.727	3.727
18.480	18.520	3.734	3.734
42.160	42.200	3.742	3.742
64.720	64.760	3.750	3.750
60.480	60.520	3.763	3.763
45.640	45.680	3.764	3.764
46.680	46.720	3.767	3.767
34.600	34.640	3.768	3.768
23.520	23.560	3.775	3.775
41.640	41.680	3.775	3.775
23.440	23.480	3.792	3.792
39.400	39.440	3.793	3.793
65.720	65.760	3.796	3.796
40.640	40.680	3.797	3.797
42.120	42.160	3.801	3.801
54.040	54.080	3.824	3.824
80.440	80.480	3.824	3.824
18.800	18.840	3.846	3.846
19.040	19.080	3.863	3.863
23.760	23.800	3.868	3.868
29.880	29.920	3.877	3.877
19.280	19.320	3.894	3.894
59.440	59.480	3.906	3.906
36.080	36.120	3.907	3.907
18.000	18.040	3.922	3.922
42.640	42.680	3.925	3.925
44.280	44.320	3.928	3.928
65.600	65.640	3.929	3.929
64.160	64.200	3.932	3.932
43.560	43.600	3.939	3.939
53.480	53.520	3.948	3.948
80.280	80.320	3.951	3.951
39.640	39.680	3.957	3.957
18.440	18.480	3.965	3.965
41.000	41.040	3.980	3.980
47.040	47.080	3.996	3.996
60.440	60.480	4.007	4.007
41.840	41.880	4.007	4.007
30.200	30.240	4.009	4.009
36.520	36.560	4.009	4.009
47.000	47.040	4.010	4.010
46.040	46.080	4.023	4.023
63.800	63.840	4.030	4.030
24.280	24.320	4.031	4.031
19.320	19.360	4.039	4.039
52.920	52.960	4.058	4.058
42.000	42.040	4.063	4.063
54.240	54.320	4.063	4.063
43.440	43.480	4.063	4.063
23.720	23.760	4.070	4.070
64.880	64.920	4.093	4.093
19.880	19.920	4.094	4.094
56.040	56.080	4.106	4.106
40.920	40.960	4.110	4.110
47.760	47.800	4.113	4.113
39.320	39.360	4.115	4.115
23.640	23.680	4.115	4.115
39.440	39.480	4.121	4.121
47.200	47.240	4.124	4.124
77.240	77.280	4.125	4.125
1.720	1.760	4.127	4.127
24.040	24.080	4.145	4.145
47.280	47.320	4.148	4.148
64.680	64.720	4.156	4.156
42.520	42.560	4.165	4.165
47.080	47.120	4.165	4.165
57.760	57.800	4.166	4.166
64.920	64.960	4.172	4.172
56.240	56.280	4.190	4.190
37.600	37.640	4.191	4.191
23.480	23.520	4.207	4.207
35.480	35.520	4.211	4.211
46.080	46.120	4.213	4.213
54.400	54.440	4.216	4.216
24.240	24.280	4.218	4.218
51.080	51.120	4.224	4.224
42.360	42.400	4.225	4.225
54.440	54.480	4.234	4.234
45.680	45.720	4.238	4.238
40.000	40.040	4.238	4.238
54.320	54.360	4.240	4.240
58.960	59.000	4.246	4.246
80.760	80.800	4.253	4.253
77.280	77.320	4.258	4.258
43.000	43.080	4.264	4.264
23.360	23.400	4.265	4.265
41.320	41.360	4.265	4.265
81.080	81.120	4.268	4.268
20.000	20.040	4.272	4.272
63.720	63.760	4.277	4.277
19.720	19.760	4.279	4.279
54.200	54.280	4.283	4.283
43.360	43.400	4.291	4.291
18.880	18.920	4.298	4.298
58.560	58.600	4.299	4.299
39.520	39.560	4.304	4.304
48.360	48.400	4.313	4.313
40.040	40.080	4.318	4.318
43.000	43.040	4.343	4.343
35.920	35.960	4.347	4.347
44.560	44.600	4.361	4.361
24.640	24.680	4.374	4.374
18.400	18.440	4.378	4.378
20.280	20.320	4.385	4.385
40.600	40.640	4.388	4.388
41.160	41.280	4.391	4.391
45.440	45.480	4.391	4.391
51.120	51.160	4.391	4.391
53.520	53.560	4.404	4.404
80.400	80.440	4.408	4.408
80.040	80.080	4.411	4.411
40.800	40.840	4.415	4.415
40.680	40.720	4.427	4.427
55.600	55.640	4.429	4.429
57.680	57.720	4.432	4.432
48.240	48.280	4.433	4.433
18.840	18.880	4.440	4.440
35.880	35.920	4.441	4.441
39.200	39.240	4.442	4.442
44.640	44.680	4.444	4.444
17.920	17.960	4.449	4.449
78.200	78.240	4.492	4.492
43.680	43.720	4.510	4.510
28.840	28.880	4.521	4.521
45.400	45.440	4.533	4.533
21.840	21.880	4.537	4.537
73.800	73.840	4.543	4.543
43.880	43.920	4.549	4.549
42.880	42.920	4.550	4.550
43.280	43.320	4.558	4.558
24.360	24.400	4.569	4.569
44.880	44.920	4.570	4.570
46.640	46.680	4.580	4.580
54.000	54.040	4.586	4.586
47.160	47.200	4.591	4.591
64.960	65.000	4.601	4.601
40.560	40.600	4.602	4.602
18.920	18.960	4.624	4.624
35.680	35.720	4.625	4.625
47.240	47.280	4.631	4.631
60.040	60.120	4.639	4.639
40.240	40.280	4.644	4.644
40.840	40.880	4.659	4.659
40.320	40.360	4.671	4.671
39.920	39.960	4.675	4.675
61.520	61.560	4.678	4.678
52.840	52.880	4.679	4.679
64.480	64.520	4.685	4.685
41.760	41.800	4.687	4.687
72.520	72.560	4.690	4.690
39.360	39.400	4.692	4.692
47.800	47.840	4.698	4.698
41.280	41.320	4.705	4.705
40.960	41.000	4.707	4.707
82.560	82.600	4.712	4.712
64.240	64.280	4.725	4.725
41.120	41.160	4.731	4.731
80.600	80.640	4.735	4.735
77.160	77.200	4.739	4.739
49.360	49.400	4.742	4.742
20.120	20.160	4.750	4.750
24.320	24.360	4.753	4.753
63.200	63.240	4.755	4.755
80.200	80.240	4.763	4.763
35.960	36.000	4.767	4.767
60.160	60.200	4.769	4.769
47.840	47.880	4.793	4.793
35.560	35.600	4.799	4.799
81.160	81.240	4.800	4.800
43.480	43.520	4.805	4.805
45.560	45.600	4.814	4.814
53.440	53.480	4.816	4.816
88.800	88.840	4.820	4.820
62.160	62.200	4.823	4.823
65.000	65.040	4.853	4.853
53.000	53.040	4.859	4.859
80.840	80.880	4.862	4.862
47.400	47.480	4.865	4.865
37.520	37.560	4.868	4.868
42.720	42.760	4.871	4.871
42.600	42.680	4.876	4.876
36.920	36.960	4.881	4.881
44.840	44.880	4.890	4.890
21.200	21.240	4.892	4.892
55.000	55.040	4.896	4.896
65.640	65.680	4.896	4.896
80.960	81.000	4.900	4.900
43.400	43.480	4.902	4.902
80.360	80.400	4.904	4.904
34.080	34.120	4.910	4.910
54.520	54.560	4.912	4.912
81.480	81.520	4.915	4.915
49.840	49.880	4.937	4.937
35.520	35.560	4.940	4.940
41.360	41.400	4.941	4.941
46.960	47.040	4.945	4.945
42.440	42.480	4.947	4.947
59.840	59.920	4.962	4.962
64.160	64.240	4.965	4.965
43.080	43.120	4.970	4.970
42.320	42.360	4.971	4.971
43.040	43.080	4.971	4.971
48.280	48.320	4.984	4.984
