,date_time,open,high,low,close,volume,diff,target
0,2006-10-02 00:00:00,0.2,0.2,0.2,0.2,5760,,-0.0021999999999999797
1,2006-10-03 00:00:00,0.2,0.2,0.2,0.2,4958,-0.0008000000000001339,-0.0036999999999998145
2,2006-10-04 00:00:00,0.2,0.2,0.2,0.2,6209,-0.0013999999999998458,-0.011600000000000055
3,2006-10-05 00:00:00,0.2,0.2,0.2,0.2,5817,-0.0022999999999999687,-0.00990000000000002
4,2006-10-06 00:00:00,0.2,0.2,0.2,0.2,6094,-0.009300000000000086,-0.006599999999999939
5,2006-10-09 00:00:00,0.2,0.2,0.2,0.2,3228,-0.0005999999999999339,-0.007000000000000117
6,2006-10-10 00:00:00,0.2,0.2,0.2,0.2,5213,-0.006000000000000005,0.0024999999999999467
7,2006-10-11 00:00:00,0.2,0.1,0.2,0.1,5217,-0.001000000000000112,-0.0010999999999998789
8,2006-10-12 00:00:00,0.1,0.1,0.2,0.2,5068,0.0035000000000000586,-0.0025999999999999357
9,2006-10-13 00:00:00,0.2,0.1,0.2,0.1,4977,-0.0045999999999999375,0.0023999999999999577
10,2006-10-16 00:00:00,0.1,0.1,0.2,0.2,4485,0.0020000000000000018,9.999999999998899e-05
11,2006-10-17 00:00:00,0.2,0.1,0.2,0.2,5508,0.00039999999999995595,0.00869999999999993
12,2006-10-18 00:00:00,0.2,0.1,0.2,0.2,4567,-0.00029999999999996696,0.007699999999999818
13,2006-10-19 00:00:00,0.2,0.2,0.2,0.2,5483,0.008999999999999897,-0.007600000000000051
14,2006-10-20 00:00:00,0.2,0.2,0.2,0.2,5020,-0.0013000000000000789,-0.005699999999999816
15,2006-10-23 00:00:00,0.2,0.2,0.2,0.2,4823,-0.006299999999999972,0.006000000000000005
16,2006-10-24 00:00:00,0.2,0.1,0.2,0.2,4268,0.000600000000000156,0.013399999999999856
17,2006-10-25 00:00:00,0.2,0.2,0.2,0.2,4940,0.005399999999999849,0.01330000000000009
